pred_token,pred_start,pred_end,gt_token,gt_start,gt_end,iou,start_off_s,end_off_s,text_match,fallback
มี,221.766,222.266,ถัดมา,221.688,222.137,0.6419,0.078,0.129,False,
ไหน,222.333,223.216,ไหน,222.758,223.41,0.4253,-0.425,-0.194,True,
มี,223.483,224.066,มี,223.528,223.716,0.3225,-0.045,0.35,True,
ถัดมา,224.083,224.65,หนึ่งพัน,224.433,225.155,0.2024,-0.35,-0.505,False,
หนึ่งพัน,224.7,225.166,หนึ่งพัน,224.433,225.155,0.6207,0.267,0.011,True,
มี,225.2,225.65,มี,225.436,225.572,0.3022,-0.236,0.078,True,
ที่,225.833,226.216,หนึ่ง,226.054,226.25,0.3885,-0.221,-0.034,False,
หนึ่ง,226.233,226.85,(ชี้นิ้วชี้),226.479,226.639,0.2593,-0.246,0.211,False,
(ชี้นิ้วชี้),226.883,227.616,แปด,226.907,227.709,0.8584,-0.024,-0.093,False,
แปด,227.7,227.816,แปด,226.907,227.709,0.0099,0.793,0.107,True,
หนึ่งพัน,227.916,228.366,หนึ่งพัน,227.943,228.126,0.4067,-0.027,0.24,True,
แปด,228.433,228.766,แปด,228.423,228.593,0.4665,0.01,0.173,True,
พัน,228.783,229.15,พัน,228.771,229.137,0.934,0.012,0.013,True,
ข้อสอง,229.516,230.366,ข้อสอง,229.43,230.312,0.8504,0.086,0.054,True,
แปด,230.383,231.033,แปด,230.466,230.804,0.52,-0.083,0.229,True,
(ชี้ไล่จากบนลงล่าง),231.05,231.816,(ชี้ไล่จากบนลงล่าง),231.046,231.879,0.9196,0.004,-0.063,True,
(ชี้นิ้วกลาง),231.866,232.233,(ชี้นิ้วกลาง),232.013,232.196,0.4986,-0.147,0.037,True,
ห้า,232.3,232.6,ห้า,232.345,233.441,0.2235,-0.045,-0.841,True,
ห้า,233.466,233.666,ห้า,233.5,233.814,0.477,-0.034,-0.148,True,
พัน,233.716,234.35,พัน,234.003,234.43,0.486,-0.287,-0.08,True,
แปดพัน,235.466,236.116,แปดพัน,235.415,236.214,0.8135,0.051,-0.098,True,
ห้าพัน,236.266,237.1,ห้าพัน,236.624,237.356,0.4367,-0.358,-0.256,True,
แปดพัน,237.116,237.766,แปดพัน,237.523,237.814,0.3481,-0.407,-0.048,True,
ห้าพัน,237.783,238.366,ห้าพัน,237.871,238.43,0.7651,-0.088,-0.064,True,
เห็น,238.533,239.316,เห็น,238.858,239.286,0.5466,-0.325,0.03,True,
(ผายมือ),239.4,239.916,(ผายมือ),239.451,239.912,0.8934,-0.051,0.004,True,
(ชี้),240.2,240.65,(ชี้),240.188,240.51,0.671,0.012,0.14,True,
แปดพัน,240.683,241.333,แปดพัน,240.714,241.227,0.7892,-0.031,0.106,True,
มาก,241.383,241.95,มาก,241.696,241.974,0.4298,-0.313,-0.024,True,
มาก,242.033,242.6,มาก,242.209,242.332,0.2169,-0.176,0.268,True,
กว่า,242.616,242.833,กว่า,242.526,242.807,0.6221,0.09,0.026,True,
ห้าพัน,242.9,243.483,ห้าพัน,242.887,243.358,0.7685,0.013,0.125,True,
อย่างไร,243.5,244.066,อย่างไร,243.531,244.119,0.8643,-0.031,-0.053,True,
มี,244.216,244.75,มี,244.18,244.773,0.9005,0.036,-0.023,True,
เก้า,245.316,245.85,เก้า,245.271,245.727,0.7098,0.045,0.123,True,
แสน,245.866,246.433,แสน,245.905,246.474,0.8684,-0.039,-0.041,True,
ห้าหมื่น,246.466,247.05,ห้าหมื่น,246.58,247.098,0.7437,-0.114,-0.048,True,
แปดพัน,247.083,247.433,แปดพัน,247.265,247.693,0.2754,-0.182,-0.26,True,
เจ็ดร้อย,247.466,248.05,แปดพัน,247.265,247.693,0.2892,0.201,0.357,False,
ห้าสิบ,248.1,248.566,ห้าสิบ,248.345,248.673,0.3857,-0.245,-0.107,True,
(เครื่องหมายมากกว่า),248.683,249.316,(เครื่องหมายมากกว่า),249.008,249.727,0.295,-0.325,-0.411,True,
มาก,249.333,249.75,(เครื่องหมายมากกว่า),249.008,249.727,0.531,0.325,0.023,False,
กว่า,249.816,250.15,มาก,249.84,250.072,0.6946,-0.024,0.078,False,
เก้า,250.183,250.75,กว่า,250.255,250.675,0.7407,-0.072,0.075,False,
แสน,250.766,251.283,เก้า,250.938,251.263,0.6286,-0.172,0.02,False,
ห้า,251.3,251.733,ห้า,251.575,251.729,0.3557,-0.275,0.004,True,
หมื่น,251.75,252.3,หมื่น,251.799,251.941,0.2582,-0.049,0.359,True,
ห้าพัน,252.316,252.783,ห้าพัน,252.111,252.822,0.6568,0.205,-0.039,True,
(ผายมือ),252.916,253.233,(ผายมือ),253.003,253.696,0.2949,-0.087,-0.463,True,
เขียน,254.066,254.516,เขียน,254.237,254.52,0.6145,-0.171,-0.004,True,
เปรียบเทียบ,254.583,255.333,เปรียบเทียบ,254.671,255.397,0.8133,-0.088,-0.064,True,
ได้,255.416,256.333,ได้,255.508,256.323,0.8888,-0.092,0.01,True,
(ผายมือ),256.433,257.183,(ผายมือ),256.634,257.169,0.7133,-0.201,0.014,True,
(ผายมือ),258.383,258.933,(ผายมือ),258.372,258.677,0.5241,0.011,0.256,True,
(ชี้),259.016,259.683,ไหน,259.175,259.631,0.6837,-0.159,0.052,False,
ไหน,259.7,260.233,สอง,259.96,260.329,0.434,-0.26,-0.096,False,
สอง,260.316,260.8,(ลากเส้นที่นิ้วชี้และนิ้วกลางไปมา),260.449,261.963,0.2131,-0.133,-1.163,False,
(ลากเส้นที่นิ้วชี้และนิ้วกลางไปมา),260.816,261.633,(ลากเส้นที่นิ้วชี้และนิ้วกลางไปมา),260.449,261.963,0.5396,0.367,-0.33,True,
มาก,261.683,262.016,(ลากเส้นที่นิ้วชี้และนิ้วกลางไปมา),260.449,261.963,0.1787,1.234,0.053,False,
กว่า,262.116,262.683,มาก,262.209,262.385,0.3104,-0.093,0.298,False,
เก้า,262.7,263.166,เก้า,262.865,263.372,0.4479,-0.165,-0.206,True,
เก้า,263.183,263.55,เก้า,262.865,263.372,0.2759,0.318,0.178,True,
แสน,263.566,264.0,เก้า,263.572,263.902,0.7604,-0.006,0.098,False,
ห้าหมื่น,264.016,264.416,แสน,264.085,264.235,0.375,-0.069,0.181,False,
แปดพัน,264.466,264.866,ห้าหมื่น,264.326,264.831,0.6759,0.14,0.035,False,
เจ็ดร้อย,264.883,265.283,แปดพัน,265.04,265.245,0.5125,-0.157,0.038,False,
ห้าสิบ,265.3,265.95,เจ็ดร้อย,265.542,265.817,0.4231,-0.242,0.133,False,
(ลากเส้นที่นิ้วชี้และนิ้วกลาง),265.966,266.383,ห้าสิบ,265.923,266.36,0.8565,0.043,0.023,False,
มาก,266.5,266.85,(ลากเส้นที่นิ้วชี้และนิ้วกลาง),266.434,267.397,0.3634,0.066,-0.547,False,
กว่า,266.916,267.433,(ลากเส้นที่นิ้วชี้และนิ้วกลาง),266.434,267.397,0.4815,0.482,0.036,False,
เก้า,267.516,268.033,มาก,267.517,267.745,0.441,-0.001,0.288,False,
แสน,268.066,268.566,กว่า,267.865,268.123,0.0813,0.201,0.443,False,
ห้า,268.583,269.05,เก้า,268.618,268.846,0.4882,-0.035,0.204,False,
หมื่น,269.116,269.6,ห้าหมื่น,269.16,269.603,0.9035,-0.044,-0.003,False,
ห้าพัน,269.616,270.15,ห้าพัน,269.732,270.354,0.5664,-0.116,-0.204,True,
เจ็ดร้อย,270.216,270.666,ห้าพัน,269.732,270.354,0.1478,0.484,0.312,False,
เก้าสิบ,270.683,271.266,เจ็ดร้อย,270.757,271.083,0.5592,-0.074,0.183,False,
เก้า,271.3,271.816,เก้า,271.458,271.846,0.6557,-0.158,-0.03,True,
(ผายมือ),273.816,274.183,(ผายมือ),273.843,274.145,0.8229,-0.027,0.038,True,
รถยนต์,274.2,274.783,รถยนต์,274.166,274.551,0.5689,0.034,0.232,True,
(ลักษณนามรถยนต์),274.8,275.216,(ลักษณนามรถยนต์),274.969,275.212,0.5841,-0.169,0.004,True,
(ลักษณนามรถยนต์),275.283,275.816,สาม,275.243,276.0,0.7041,0.04,-0.184,False,
สาม,276.0,276.75,(ชี้นิ้วมือซ้ายที่ชูสามนิ้ว),276.037,276.705,0.8907,-0.037,0.045,False,
(ชี้นิ้วมือซ้ายที่ชูสามนิ้ว),276.783,277.333,ราคา,276.828,277.44,0.7686,-0.045,-0.107,False,
ราคา,277.416,277.766,(ผายมือ),277.465,278.545,0.2666,-0.049,-0.779,False,
(ผายมือ),277.783,278.566,(ผายมือ),277.465,278.545,0.6921,0.318,0.021,True,
(ชี้นิ้วมือซ้ายที่ชูสามนิ้ว),278.783,279.616,(ชี้นิ้วมือซ้ายที่ชูสามนิ้ว),278.723,279.431,0.7256,0.06,0.185,True,
เรา,279.633,280.833,เรา,279.843,280.535,0.5767,-0.21,0.298,True,
เปรียบเทียบ,280.883,282.083,เปรียบเทียบ,281.049,281.28,0.1925,-0.166,0.803,True,
(มากไปหาน้อย),282.1,283.216,(มากไปหาน้อย),282.154,282.437,0.2536,-0.054,0.779,True,
ไหน,283.233,284.366,ไหน,283.868,284.566,0.3736,-0.635,-0.2,True,
เปรียบเทียบ,284.666,285.25,เปรียบเทียบ,284.708,284.942,0.4007,-0.042,0.308,True,
ดู,285.283,285.733,ที่,285.388,285.575,0.4156,-0.105,0.158,False,
ที่,285.8,285.983,สอง,285.818,286.775,0.1692,-0.018,-0.792,False,
สอง,286.0,286.716,สอง,285.818,286.775,0.7482,0.182,-0.059,True,
มาก,286.8,287.333,มาก,287.037,287.511,0.4163,-0.237,-0.178,True,
ที่สุด,287.366,287.85,ที่สุด,287.566,287.803,0.4897,-0.2,0.047,True,
มาก,288.233,288.45,มาก,288.203,288.382,0.6032,0.03,0.068,True,
ราคา,288.483,289.016,ราคา,288.4,288.871,0.6299,0.083,0.145,True,
หนึ่ง,289.066,289.45,หนึ่ง,289.046,289.422,0.8812,0.02,0.028,True,
ล้าน,289.5,289.966,ล้าน,289.443,289.769,0.5143,0.057,0.197,True,
สามร้อย,290.016,290.416,สามร้อย,289.803,290.492,0.5806,0.213,-0.076,True,
แปดสิบ,290.466,291.166,แปดสิบ,290.538,291.188,0.8698,-0.072,-0.022,True,
ห้า,291.216,291.533,ห้า,291.274,292.206,0.2616,-0.058,-0.673,True,
(ชี้หนึ่ง),292.366,292.85,(ชี้หนึ่ง),292.354,292.843,0.9617,0.012,0.007,True,
หนึ่ง,292.916,293.266,หนึ่ง,292.948,293.243,0.8429,-0.032,0.023,True,
หนึ่ง,293.316,293.716,หนึ่ง,293.314,293.443,0.3159,0.002,0.273,True,
ล้าน,293.733,294.15,ล้าน,293.502,294.157,0.6366,0.231,-0.007,True,
ถัดมา,294.3,294.766,ถัดมา,294.305,294.68,0.8047,-0.005,0.086,True,
ที่,294.816,295.35,หนึ่ง,295.102,295.286,0.3446,-0.286,0.064,False,
หนึ่ง,295.366,296.216,(ชี้),295.425,296.265,0.8799,-0.059,-0.049,False,
(ชี้),296.283,296.35,,,,0.0,,,False,
ที่,296.4,296.833,ที่,296.502,296.643,0.3256,-0.102,0.19,True,
สาม,296.916,297.133,สาม,296.892,297.283,0.555,0.024,-0.15,True,
สอง,297.3,297.8,สอง,297.782,298.655,0.0133,-0.482,-0.855,True,
หนึ่ง,297.816,299.133,สอง,297.782,298.655,0.621,0.034,0.478,False,
สาม,299.166,299.633,สาม,299.326,299.689,0.587,-0.16,-0.056,True,
สมมุติ,301.216,302.166,สมมุติ,301.274,301.797,0.5505,-0.058,0.369,True,
อยาก,302.2,303.2,ใหม่,302.643,302.932,0.289,-0.443,0.268,False,
ใหม่,303.216,304.266,(น้อยไปหามาก),303.188,305.683,0.4208,0.028,-1.417,False,
(น้อยไปหามาก),304.416,305.133,(น้อยไปหามาก),303.188,305.683,0.2874,1.228,-0.55,True,
ที่สาม,305.9,306.583,ที่สาม,305.88,307.394,0.4511,0.02,-0.811,True,
ที่,306.6,307.45,ที่สาม,305.88,307.394,0.5057,0.72,0.056,False,
หนึ่ง,307.466,308.333,หนึ่ง,307.929,308.394,0.4353,-0.463,-0.061,True,
(ชี้นิ้วชี้),308.4,308.916,(ชี้นิ้วชี้),308.754,309.385,0.1645,-0.354,-0.469,True,
สอง,309.383,309.983,สอง,309.855,311.157,0.0722,-0.472,-1.174,True,
มี,310.0,310.616,สอง,309.855,311.157,0.4731,0.145,-0.541,False,
(ผายมือ),311.216,312.166,(ผายมือ),311.855,312.434,0.2553,-0.639,-0.268,True,
(น้อยไปหามาก),312.183,313.016,(ผายมือ),311.855,312.434,0.2162,0.328,0.582,False,
(ผายมือ),313.033,313.9,(น้อยไปหามาก),313.071,313.698,0.7232,-0.038,0.202,False,
ดู,314.683,314.983,ดู,314.686,314.883,0.6567,-0.003,0.1,True,
(ผายมือ),315.0,315.316,(ผายมือ),314.988,315.274,0.8354,0.012,0.042,True,
ตัวอย่าง,315.4,315.783,ตัวอย่าง,315.366,315.726,0.7818,0.034,0.057,True,
(ผายมือ),315.883,316.3,(ผายมือ),315.981,316.185,0.4892,-0.098,0.115,True,
เปรียบเทียบ,316.316,316.65,เปรียบเทียบ,316.255,317.206,0.3512,0.061,-0.556,True,
ตัวเลข,316.7,317.233,เปรียบเทียบ,316.255,317.206,0.5174,0.445,0.027,False,
นับ,317.3,317.75,ตัวเลข,317.234,317.431,0.2539,0.066,0.319,False,
มี,317.783,318.25,นับ,317.588,318.197,0.6254,0.195,0.053,False,
(วางคำ),318.266,318.683,มี,318.243,318.708,0.8968,0.023,-0.025,False,
(วางคำ),318.7,319.166,(วางคำ),318.803,318.917,0.2446,-0.103,0.249,True,
(วางคำ),319.2,319.65,(วางคำ),319.422,319.545,0.2733,-0.222,0.105,True,
(วางคำ),319.7,319.933,,,,0.0,,,False,
สี่,319.966,320.25,สี่,319.975,320.298,0.8283,-0.009,-0.048,True,
(ชี้เรียงตามนิ้วมือซ้าย),320.583,321.183,(ชี้เรียงตามนิ้วมือซ้าย),320.529,321.378,0.7067,0.054,-0.195,True,
อ่าน,321.233,321.75,อ่าน,321.443,321.772,0.5696,-0.21,-0.022,True,
ก่อน,321.766,322.45,ก่อน,321.815,322.077,0.383,-0.049,0.373,True,
(ชี้แต่ละนิ้ว),322.466,323.05,(ชี้แต่ละนิ้ว),322.225,322.966,0.6061,0.241,0.084,True,
ก่อน,323.066,323.716,ก่อน,323.182,323.717,0.8203,-0.116,-0.001,True,
(ชี้ย้ำที่นิ้วชี้),323.983,324.266,(ชี้ย้ำที่นิ้วชี้),324.098,325.748,0.0952,-0.115,-1.482,True,
เท่าไร,325.733,325.883,(ชี้ย้ำที่นิ้วชี้),324.098,325.748,0.0084,1.635,0.135,False,
หก,325.933,326.416,เท่าไร,325.902,326.102,0.3288,0.031,0.314,False,
ล้าน,326.433,327.133,หก,326.342,326.754,0.4058,0.091,0.379,False,
สาม,327.15,327.75,สาม,327.317,327.64,0.5383,-0.167,0.11,True,
แสน,327.783,328.716,แสน,327.8,328.852,0.8569,-0.017,-0.136,True,
สอง,328.9,329.466,สอง,329.031,329.585,0.635,-0.131,-0.119,True,
พัน,329.516,329.833,พัน,329.794,329.846,0.1182,-0.278,-0.013,True,
หนึ่งร้อย,329.883,330.416,หนึ่งร้อย,330.086,330.388,0.5666,-0.203,0.028,True,
ห้าสิบ,330.433,330.95,ห้าสิบ,330.508,330.908,0.7737,-0.075,0.042,True,
เก้า,331.016,331.733,เก้า,331.015,331.782,0.9348,0.001,-0.049,True,
(ชี้ย้ำที่นิ้วกลาง),332.166,332.633,(ชี้ย้ำที่นิ้วกลาง),332.178,334.772,0.1746,-0.012,-2.139,True,
หก,332.733,333.45,(ชี้ย้ำที่นิ้วกลาง),332.178,334.772,0.2764,0.555,-1.322,False,
ล้าน,333.5,334.133,(ชี้ย้ำที่นิ้วกลาง),332.178,334.772,0.244,1.322,-0.639,False,
สาม,334.533,335.266,หก,334.883,335.418,0.4328,-0.35,-0.152,False,
แสน,335.333,335.966,ล้าน,335.468,335.849,0.6019,-0.135,0.117,False,
สอง,336.066,336.966,แสน,336.458,336.975,0.5589,-0.392,-0.009,False,
หมื่น,336.983,337.5,สอง,337.058,337.258,0.3868,-0.075,0.242,False,
เก้าพัน,337.7,338.45,เก้าพัน,337.957,338.542,0.5855,-0.257,-0.092,True,
ห้าร้อย,338.616,339.3,ห้าร้อย,338.668,339.314,0.9054,-0.052,-0.014,True,
สิบ,339.316,339.916,สิบ,339.498,339.957,0.6521,-0.182,-0.041,True,
(ชี้ย้ำที่นิ้วนาง),340.033,340.266,(ชี้ย้ำที่นิ้วนาง),340.08,342.695,0.0699,-0.047,-2.429,True,
เก้า,340.616,341.233,(ชี้ย้ำที่นิ้วนาง),340.08,342.695,0.2359,0.536,-1.462,False,
แสน,342.7,343.033,เก้า,342.972,343.265,0.108,-0.272,-0.232,False,
เก้า,343.233,343.55,แสน,343.326,344.129,0.25,-0.093,-0.579,False,
หมื่น,344.116,344.916,เก้า,344.418,344.643,0.2812,-0.302,0.273,False,
ห้าพัน,345.4,346.133,ห้าพัน,345.514,346.345,0.655,-0.114,-0.212,True,
เจ็ดร้อย,346.15,346.516,ห้าพัน,345.514,346.345,0.1946,0.636,0.171,False,
แปดสิบ,346.566,347.233,เจ็ดร้อย,346.572,346.982,0.6147,-0.006,0.251,False,
เก้า,347.316,348.05,เก้า,347.735,348.046,0.4237,-0.419,0.004,True,
(ชี้นิ้วนาง),348.183,348.75,(ชี้นิ้วนาง),348.148,348.298,0.191,0.035,0.452,True,
(ชี้ย้ำที่นิ้วก้อย),348.8,349.35,(ชี้ย้ำที่นิ้วก้อย),348.858,351.132,0.211,-0.058,-1.782,True,
หก,351.216,351.733,หก,351.388,351.723,0.648,-0.172,0.01,True,
ล้าน,351.766,352.35,ล้าน,351.8,352.391,0.88,-0.034,-0.041,True,
สาม,352.383,353.033,สาม,352.492,352.889,0.6108,-0.109,0.144,True,
แสน,353.083,353.95,แสน,352.994,353.935,0.8912,0.089,0.015,True,
สอง,353.966,354.7,สอง,354.08,354.372,0.3978,-0.114,0.328,True,
หมื่น,355.216,355.533,สองร้อย,355.332,355.778,0.3577,-0.116,-0.245,False,
สองร้อย,355.633,355.75,สองร้อย,355.332,355.778,0.2623,0.301,-0.028,True,
สิบห้า,355.8,356.566,สิบห้า,356.0,356.6,0.7075,-0.2,-0.034,True,
(ชี้ย้ำที่นิ้วก้อย),356.616,357.266,(ชี้ย้ำที่นิ้วก้อย),356.782,357.332,0.676,-0.166,-0.066,True,
ทั้งหมด,357.466,358.25,ทั้งหมด,357.514,357.914,0.5102,-0.048,0.336,True,
เปรียบเทียบ,358.333,358.85,เปรียบเทียบ,358.058,358.794,0.5821,0.275,0.056,True,
(ชี้แต่ละนิ้ว),359.1,359.566,(ชี้แต่ละนิ้ว),359.262,359.649,0.5537,-0.162,-0.083,True,
สี่,359.583,360.2,สี่,359.729,360.252,0.704,-0.146,-0.052,True,
เปรียบเทียบ,360.283,360.916,เปรียบเทียบ,360.406,360.908,0.793,-0.123,0.008,True,
ตัวอย่าง,361.116,361.566,ตัวอย่าง,361.079,361.608,0.8507,0.037,-0.042,True,
เรา,361.583,361.866,เรา,361.766,362.709,0.0888,-0.183,-0.843,True,
เห็น,361.883,362.65,เรา,361.766,362.709,0.8134,0.117,-0.059,False,
สังเกต,362.7,363.033,เห็น,362.892,363.031,0.4174,-0.192,0.002,False,
ตรง,363.066,363.466,สังเกต,363.332,363.505,0.3052,-0.266,-0.039,False,
(มี+สี่),363.483,363.933,ตรง,363.649,363.889,0.5333,-0.166,0.044,False,
เห็น,363.983,364.466,เห็น,364.268,364.406,0.2857,-0.285,0.06,True,
(ชี้ไล่เรียงแต่ละนิ้ว),364.483,364.816,(ชี้ไล่เรียงแต่ละนิ้ว),364.631,365.163,0.2721,-0.148,-0.347,True,
มาก,364.833,365.266,(ชี้ไล่เรียงแต่ละนิ้ว),364.631,365.163,0.5197,0.202,0.103,False,
ที่สุด,365.283,365.766,มาก,365.529,365.782,0.4749,-0.246,-0.016,False,
สังเกต,365.783,366.216,ที่สุด,366.043,366.218,0.3977,-0.26,-0.002,False,
ชัดเจน,366.3,366.933,สังเกต,366.508,366.68,0.2717,-0.208,0.253,False,
(ชี้แต่ละนิ้ว),367.366,367.433,(ชี้แต่ละนิ้ว),367.354,368.766,0.0475,0.012,-1.333,True,
เปรียบเทียบ,367.533,368.35,(ชี้แต่ละนิ้ว),367.354,368.766,0.5786,0.179,-0.416,False,
ตัวเลข,368.366,369.133,(ชี้แต่ละนิ้ว),367.354,368.766,0.2248,1.012,0.367,False,
ฝั่งซ้าย,369.166,369.866,ตัวเลข,369.255,370.08,0.6685,-0.089,-0.214,False,
มี,369.883,370.633,ตัวเลข,369.255,370.08,0.143,0.628,0.553,False,
(วางสันมือที่นิ้วชี้),370.7,371.433,ฝั่งซ้าย,370.705,371.274,0.7763,-0.005,0.159,False,
ล้าน,371.466,372.066,(วางสันมือที่นิ้วชี้),371.745,371.886,0.235,-0.279,0.18,False,
มี,372.1,372.383,ล้าน,372.111,373.268,0.2329,-0.011,-0.885,False,
หก,374.216,374.466,หก,374.098,374.329,0.3071,0.118,0.137,True,
ล้าน,374.483,374.95,ล้าน,374.443,374.883,0.789,0.04,0.067,True,
(ชี้นิ้วกลาง),374.966,375.35,(ชี้นิ้วกลาง),375.135,375.351,0.5584,-0.169,-0.001,True,
หก,375.366,375.8,หก,375.594,375.76,0.3825,-0.228,0.04,True,
ล้าน,375.816,376.35,ล้าน,375.837,376.028,0.3577,-0.021,0.322,True,
(ชี้นิ้วนาง),376.75,376.9,(ชี้นิ้วนาง),376.246,376.938,0.2168,0.504,-0.038,True,
(ชี้นิ้วก้อย),377.016,377.35,(ชี้นิ้วก้อย),377.2,377.314,0.3413,-0.184,0.036,True,
หก,377.366,377.65,หก,377.606,377.769,0.1092,-0.24,-0.119,True,
ล้าน,377.8,378.05,ล้าน,377.858,378.046,0.752,-0.058,0.004,True,
(ชี้นิ้วก้อย),378.066,378.45,(ชี้นิ้วก้อย),378.197,378.471,0.6247,-0.131,-0.021,True,
(ชี้ไล่เรียงแต่ละนิ้ว),378.566,378.916,(ชี้ไล่เรียงแต่ละนิ้ว),378.585,379.366,0.4138,-0.019,-0.45,True,
(ชี้ย้ำที่นิ้วนาง),378.95,379.716,(ชี้ไล่เรียงแต่ละนิ้ว),378.585,379.366,0.3678,0.365,0.35,False,
ลอง,379.733,380.45,(ชี้ย้ำที่นิ้วนาง),379.4,380.649,0.5741,0.333,-0.199,False,
สังเกต,380.566,381.15,ลอง,380.705,381.062,0.6113,-0.139,0.088,False,
(ชี้ย้ำที่นิ้วนาง),381.6,382.583,(ชี้ย้ำที่นิ้วนาง),381.908,383.434,0.368,-0.308,-0.851,True,
ล้าน,382.6,383.333,(ชี้ย้ำที่นิ้วนาง),381.908,383.434,0.4803,0.692,-0.101,False,
ฝั่งซ้าย,383.416,383.633,(ชี้ย้ำที่นิ้วนาง),381.908,383.434,0.0104,1.508,0.199,False,
(ชี้ย้ำที่นิ้วนาง),383.966,384.733,ฝั่งซ้าย,384.132,384.385,0.3299,-0.166,0.348,False,
มี,384.8,385.216,(ชี้ย้ำที่นิ้วนาง),384.769,386.378,0.2585,0.031,-1.162,False,
หนึ่ง,385.233,385.966,(ชี้ย้ำที่นิ้วนาง),384.769,386.378,0.4556,0.464,-0.412,False,
แสน,386.1,386.566,(ชี้ย้ำที่นิ้วนาง),384.769,386.378,0.1547,1.331,0.188,False,
หนึ่ง,386.583,387.366,หนึ่ง,386.732,386.982,0.3193,-0.149,0.384,True,
แสน,387.5,388.25,หนึ่ง,387.772,388.043,0.3613,-0.272,0.207,False,
(ชี้ย้ำที่นิ้วนาง),388.8,389.416,(ชี้ย้ำที่นิ้วนาง),388.843,389.434,0.9038,-0.043,-0.018,True,
มี,389.433,389.933,มี,389.594,389.914,0.64,-0.161,0.019,True,
(ชี้นิ้วนาง),390.0,390.516,(ชี้นิ้วนาง),390.08,390.28,0.3876,-0.08,0.236,True,
เงิน,390.616,390.633,,,,0.0,,,False,
น้อย,390.733,391.133,น้อย,390.692,391.203,0.7828,0.041,-0.07,True,
(ชี้นิ้วนาง),391.166,391.533,(ชี้นิ้วนาง),391.403,391.508,0.2861,-0.237,0.025,True,
น้อย,391.6,391.75,น้อย,391.662,392.32,0.1222,-0.062,-0.57,True,
เรา,392.483,393.233,เรา,392.511,393.431,0.7616,-0.028,-0.198,True,
สลับ,393.283,393.983,สลับ,393.738,393.988,0.3475,-0.455,-0.005,True,
ตอบ,394.0,394.633,ตอบ,394.191,394.588,0.6272,-0.191,0.045,True,
ได้,394.716,395.216,ได้,394.671,395.117,0.7358,0.045,0.099,True,
ที่,395.233,395.933,ที่,395.298,395.782,0.6914,-0.065,0.151,True,
สอง,395.983,396.566,(จับที่นิ้วชี้),396.422,397.462,0.0974,-0.439,-0.896,False,
(จับที่นิ้วชี้),396.716,397.483,(จับที่นิ้วชี้),396.422,397.462,0.7031,0.294,0.021,True,
คะแนน,397.583,398.133,คะแนน,397.616,398.086,0.8545,-0.033,0.047,True,
น้อย,398.166,398.483,น้อย,398.317,398.846,0.2441,-0.151,-0.363,True,
ไหน,398.583,398.95,น้อย,398.317,398.846,0.4155,0.266,0.104,False,
(ชี้นิ้วชี้),399.0,399.55,ไหน,398.96,399.364,0.6169,0.04,0.186,False,
เก้า,399.566,400.266,,,,0.0,,,False,
แสน,400.283,400.883,(ชี้นิ้วชี้),400.483,400.625,0.2367,-0.2,0.258,False,
เก้า,400.9,401.433,แสน,401.222,401.422,0.3752,-0.322,0.011,False,
หมื่น,401.483,402.066,เก้า,401.615,401.834,0.3756,-0.132,0.232,False,
ห้าพัน,402.083,402.483,ห้าพัน,402.182,402.492,0.7359,-0.099,-0.009,True,
เจ็ดร้อย,402.533,403.0,เจ็ดร้อย,402.649,403.012,0.7328,-0.116,-0.012,True,
แปดสิบ,403.016,403.55,แปดสิบ,403.163,403.862,0.4574,-0.147,-0.312,True,
เก้า,403.616,404.15,เก้า,403.917,404.157,0.4307,-0.301,-0.007,True,
(ชี้ย้ำที่นิ้วชี้),404.283,404.7,(ชี้ย้ำที่นิ้วชี้),404.288,405.246,0.4278,-0.005,-0.546,True,
(ชี้ตัวเอง),404.716,405.433,(ชี้ย้ำที่นิ้วชี้),404.288,405.246,0.4629,0.428,0.187,False,
(ชี้ย้ำที่นิ้วชี้),405.45,406.133,(ชี้ย้ำที่นิ้วชี้),405.732,406.498,0.3826,-0.282,-0.365,True,
[มี],406.333,406.55,(ชี้ย้ำที่นิ้วชี้),405.732,406.498,0.2017,0.601,0.052,False,
คิด,406.6,407.15,มี,406.775,407.206,0.6188,-0.175,-0.056,False,
เอามา,407.166,407.75,คิด,407.354,407.702,0.5959,-0.188,0.048,False,
พิจารณา,407.816,408.35,พิจารณา,408.068,408.449,0.4455,-0.252,-0.099,True,
ปรึกษา,408.4,408.933,ปรึกษา,408.505,408.766,0.4897,-0.105,0.167,True,
ไม่,408.983,409.65,ไม่,408.862,409.665,0.8306,0.121,-0.015,True,
ต่อ,410.1,410.516,ต่อ,410.009,410.554,0.7633,0.091,-0.038,True,
ไหน,410.533,410.95,ไหน,410.618,410.895,0.6643,-0.085,0.055,True,
ทำ,411.0,411.45,ทำ,411.071,411.403,0.7378,-0.071,0.047,True,
หา,411.5,411.966,หา,411.658,412.071,0.5394,-0.158,-0.105,True,
ตรง,411.983,412.25,หา,411.658,412.071,0.1486,0.325,0.179,False,
เงิน,412.3,412.633,ตรง,412.375,412.655,0.7268,-0.075,-0.022,False,
มาก,412.683,413.066,เงิน,412.883,413.172,0.3742,-0.2,-0.106,False,
ที่สุด,413.083,413.533,มาก,413.28,413.702,0.4087,-0.197,-0.169,False,
