Processing video: 5224144816887051284
Video 5224144816887051284: 44352 frames at 25.00 FPS
Total annotations after filtering by pl_filter: 1276
DEBUG: Final pseudo glosses:
{'start': 4.88, 'end': 5.04, 'text': 'british', 'probs': 0.867431640625}
{'start': 364.8, 'end': 364.96, 'text': 'well', 'probs': 0.66943359375}
{'start': 365.12, 'end': 365.36, 'text': 'one', 'probs': 0.7649739583333334}
{'start': 366.8, 'end': 366.96, 'text': 'been', 'probs': 0.76513671875}
{'start': 367.2, 'end': 367.36, 'text': 'five', 'probs': 0.75146484375}
{'start': 367.36, 'end': 367.68, 'text': 'fifty', 'probs': 0.72998046875}
{'start': 367.92, 'end': 368.32, 'text': 'year', 'probs': 0.66611328125}
{'start': 369.6, 'end': 369.76, 'text': 'to', 'probs': 0.856689453125}
{'start': 371.44, 'end': 371.6, 'text': 'no', 'probs': 0.75732421875}
{'start': 371.92, 'end': 372.4, 'text': 'parent', 'probs': 0.9462076822916666}
{'start': 372.48, 'end': 372.72, 'text': 'if', 'probs': 0.7418619791666666}
{'start': 373.92, 'end': 374.24, 'text': 'feel', 'probs': 0.8797607421875}
{'start': 375.6, 'end': 376.16, 'text': 'proud', 'probs': 0.8233816964285714}
{'start': 376.64, 'end': 376.72, 'text': 'go', 'probs': 0.60595703125}
{'start': 377.12, 'end': 377.28, 'text': 'sink', 'probs': 0.61767578125}
{'start': 377.36, 'end': 377.84, 'text': 'start', 'probs': 0.8443196614583334}
{'start': 378.4, 'end': 378.48, 'text': 'increase', 'probs': 0.654296875}
{'start': 382.4, 'end': 384.24, 'text': 'garden', 'probs': 0.7328676970108695}
{'start': 391.52, 'end': 391.76, 'text': 'what', 'probs': 0.79248046875}
{'start': 392.0, 'end': 392.24, 'text': 'matt', 'probs': 0.7408854166666666}
{'start': 392.48, 'end': 392.96, 'text': 'area', 'probs': 0.9324544270833334}
{'start': 393.52, 'end': 393.68, 'text': 'what', 'probs': 0.755859375}
{'start': 393.68, 'end': 393.76, 'text': 'no', 'probs': 0.63720703125}
{'start': 394.0, 'end': 394.08, 'text': 'what', 'probs': 0.81640625}
{'start': 394.4, 'end': 394.56, 'text': 'really', 'probs': 0.629150390625}
{'start': 394.8, 'end': 395.04, 'text': 'bank', 'probs': 0.7189127604166666}
{'start': 395.68, 'end': 395.92, 'text': 'beautiful', 'probs': 0.7473958333333334}
{'start': 396.08, 'end': 396.16, 'text': 'wonderful', 'probs': 0.908203125}
{'start': 396.16, 'end': 396.32, 'text': 'fire', 'probs': 0.656005859375}
{'start': 396.32, 'end': 396.4, 'text': 'climb', 'probs': 0.77587890625}
{'start': 397.04, 'end': 397.12, 'text': 'left', 'probs': 0.69189453125}
{'start': 397.52, 'end': 397.84, 'text': 'really', 'probs': 0.712158203125}
{'start': 399.04, 'end': 399.28, 'text': 'nature', 'probs': 0.7674153645833334}
{'start': 399.36, 'end': 399.68, 'text': 'see', 'probs': 0.6881103515625}
